PDB_ID	H_chain_ID	L_chain_ID	Ag_chain_ID(s)	Affinity_KD(nM)	Affinity_method	Affinity_temp(K)	Remark
7qtj	B	C	A	N.A.	N.A.	N.A.	N.A.
7qtj	F	E	A	N.A.	N.A.	N.A.	N.A.
7qtk	B	C	D	N.A.	N.A.	N.A.	N.A.
7qu1	A	B	C	N.A.	N.A.	N.A.	N.A.
7qu2	A	B	C	N.A.	N.A.	N.A.	N.A.
7quh	H	L	A	0.464	BLI	298	KD from DOI: 10.1159/000501637
7r1z	C	N.A.	A	3.49	ITC	293	N.A.
7r1z	E	N.A.	A	1.12	ITC	293	N.A.
7r23	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7r23	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7r24	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7r24	E	N.A.	A	N.A.	N.A.	N.A.	N.A.
7r40	H	L	A	0.019	BLI	N.A.	N.A.
7r4i	D	N.A.	A	0.31	SPR	N.A.	N.A.
7r4q	D	N.A.	A	4.58	SPR	N.A.	N.A.
7r4r	D	N.A.	C	3.88	SPR	N.A.	N.A.
7r58	H	L	A	12.6	SPR	N.A.	N.A.
7r6w	A	B	R	0.2	SPR	298	N.A.
7r6w	H	L	R	0.2	SPR	298	N.A.
7r6x	A	B	R	0.2	SPR	298	N.A.
7r6x	C	D	R	1.7	SPR	298	N.A.
7r6x	H	L	R	1	SPR	298	N.A.
7r73	A	N.A.	G	N.A.	N.A.	N.A.	N.A.
7r74	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7r7n	H	L	E	0.05	SPR	298	N.A.
7r8l	C	D	E	N.A.	N.A.	N.A.	N.A.
7r8l	H	L	E	0.0039	BLI	303	N.A.
7r8m	H	L	B	30.25	BLI	303	N.A.
7r8n	H	L	A;B	0.0031	BLI	303	N.A.
7r8o	H	L	B;E	2.828	BLI	303	N.A.
7r98	D	N.A.	A	1.6	SPR	298	N.A.
7ra3	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7ra3	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7ra8	H	L	A	<0.1	SPR	298	N.A.
7rah	B	A	E	0.87	SPR	N.A.	N.A.
7rah	D	C	E	0.75	SPR	N.A.	N.A.
7rai	H	L	A;C	N.A.	N.A.	N.A.	N.A.
7ral	H	L	B	0.08	SPR	298	KD = 0.49 nM by BLI
7rbt	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7rbt	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7rbu	H	L	B	N.A.	N.A.	N.A.	N.A.
7rbv	H	L	B	N.A.	N.A.	N.A.	N.A.
7rby	B	N.A.	A	1.59	BLI	N.A.	important KD data paper
7rco	D	C	A;B	1.4	SPR	310	important KD data paper
7rd5	D	C	E	N.A.	N.A.	N.A.	N.A.
7rdw	H	L	M	2.64	BLI	N.A.	N.A.
7rew	H	L	I	0.000034	kinetic exclusion assay	297	N.A.
7rfb	H	L	D	N.A.	N.A.	N.A.	N.A.
7rfc	H	L	D	N.A.	N.A.	N.A.	N.A.
7rfp	H	L	A	N.A.	N.A.	N.A.	N.A.
7rg9	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7rg9	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7rgp	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7rgp	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7ri1	B	N.A.	A	3.7	SPR	298	important KD data paper
