PDB_ID	H_chain_ID	L_chain_ID	Ag_chain_ID(s)	Affinity_KD(nM)	Affinity_method	Affinity_temp(K)	Remark
7uja	E	F	A	N.A.	N.A.	N.A.	N.A.
7uja	L	M	A;C	N.A.	N.A.	N.A.	N.A.
7uje	H	L	A	N.A.	N.A.	N.A.	N.A.
7ujk	H	L	A	N.A.	N.A.	N.A.	N.A.
7uk9	H	L	A	N.A.	N.A.	N.A.	N.A.
7ukl	H	L	A;C	16	SPR	298	N.A.
7ukm	H	L	A;C	N.A.	N.A.	N.A.	N.A.
7uko	H	L	A	N.A.	N.A.	N.A.	N.A.
7ukp	H	L	A	N.A.	N.A.	N.A.	N.A.
7ukt	H	L	A	N.A.	N.A.	N.A.	N.A.
7ul0	H	L	A	1.3	SPR	298	N.A.
7ul1	H	L	A	0.83	SPR	298	N.A.
7ul3	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7ul7	H	L	a;b	0.559	BLI	N.A.	N.A.
7umm	H	L	A	0.03	BLI	298	N.A.
7umn	H	L	A	N.A.	N.A.	N.A.	N.A.
7unb	F	E	R	N.A.	N.A.	N.A.	N.A.
7unb	H	L	R	N.A.	N.A.	N.A.	N.A.
7uny	C	N.A.	A	4.4	BLI	298	important KD data paper
7unz	C	N.A.	B	0.88	BLI	298	N.A.
7uoj	d	e	A	N.A.	N.A.	N.A.	N.A.
7uoj	H	L	A;G	N.A.	N.A.	N.A.	N.A.
